,book title,writter,narrator,audio_length,release_date,book language,review stars,num of ratings,price
81,The Coming Wave,"Mustafa Suleyman, Michael Bhaskar",Mustafa Suleyman,11 hrs and 48 mins,07-09-23,English,4.5,13,₹957.00
82,Anxious People,Fredrik Backman,Marin Ireland,9 hrs and 52 mins,20-08-20,English,4.5,"1,854",₹888.00
83,Behave,Robert M. Sapolsky,Michael Goldstrom,26 hrs and 27 mins,16-08-18,English,4.5,67,₹957.00
84,"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Stephen Fry,23 hrs and 59 mins,20-11-15,English,5,"1,321","₹1,599.00"
85,The Warren Buffett Way,Robert Hagstrom,Stephen Hoye,10 hrs and 31 mins,30-09-13,English,4.5,838,"₹1,005.00"
86,Metamorphosis,Franz Kafka,Benedict Cumberbatch,1 hr and 38 mins,04-01-18,English,4.5,252,₹957.00
87,The Mountain Is You,Brianna Wiest,Stacey Glemboski,5 hrs and 44 mins,01-04-22,English,4.5,58,₹668.00
88,Ashtavakra Mahagitaa Vol,OSHO,OSHO,16 hrs and 7 mins,26-05-17,Hindi,5,145,₹284.00
89,Designing Data-Intensive Applications,Martin Kleppmann,Benjamin Lange,20 hrs and 56 mins,05-02-21,English,4.5,49,"₹1,675.00"
90,Homo Deus,Yuval Noah Harari,Derek Perkins,14 hrs and 53 mins,08-09-16,English,4.5,"1,816",₹957.00
91,Outliers,Malcolm Gladwell,Malcolm Gladwell,7 hrs and 18 mins,18-11-08,English,4.5,800,₹500.00
92,"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Stephen Fry,12 hrs and 3 mins,20-11-15,English,5,"1,002",₹999.00
93,Transformed,Marty Cagan,Marty Cagan,10 hrs and 9 mins,12-03-24,English,,,₹586.00
94,The Power of Habit,Charles Duhigg,Mike Chamberlain,10 hrs and 53 mins,05-04-12,English,4.5,"2,050",₹820.00
95,A Short History of Nearly Everything,Bill Bryson,William Roberts,18 hrs and 59 mins,26-12-04,English,4.5,698,₹801.00
96,Algorithms to Live By,"Brian Christian, Tom Griffiths",Brian Christian,11 hrs and 50 mins,19-04-16,English,4.5,243,"₹1,008.00"
97,The Tatas,"Girish Kuber, Vikrant Pande - translator",Rajiv Dadia,9 hrs and 41 mins,17-03-20,English,4.5,749,₹705.00
98,Make Time,"Jake Knapp, John Zeratsky","Jake Knapp, John Zeratsky",4 hrs and 58 mins,27-09-18,English,4.5,"1,105",₹615.00
99,"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Stephen Fry,20 hrs and 54 mins,20-11-15,English,5,880,"₹1,599.00"
